age,matches,totalRuns,battingAverage,strikeRate,fours,sixes,totalWickets,economy,recentForm,consistency,potential
21,13,511,45.95,107.14,58,14,34,5.39,46.64,66.1,1
24,39,1292,37.69,91.86,102,41,14,7.02,92.81,58.91,1
23,64,2415,31.91,100.88,233,110,6,6.62,59.55,62.2,0
19,68,2508,38.77,158.12,211,68,39,8.98,55.58,63.08,1
20,15,772,43.14,144.11,55,20,24,6.25,65.07,76.78,1
29,55,1765,27.33,108.69,140,54,10,7.4,70.42,57.24,0
26,38,1854,43.96,149.0,193,89,20,6.81,95.22,48.31,1
28,37,1852,42.94,117.69,165,73,15,8.35,86.09,71.95,1
31,61,1704,32.67,159.81,148,48,55,5.49,88.56,76.37,1
31,18,594,33.47,131.71,60,19,60,5.05,82.49,81.04,1
35,44,1893,46.9,113.81,207,94,46,8.94,72.53,58.17,1
23,74,3533,51.94,150.94,283,109,9,6.68,97.44,53.08,1
34,10,346,40.96,124.2,32,8,51,6.38,93.29,47.9,1
20,20,1086,45.62,147.12,92,48,42,7.14,59.58,72.49,1
31,37,2090,52.51,142.87,160,74,42,7.92,73.47,66.91,1
21,41,1182,27.86,113.67,122,48,4,8.19,48.71,47.94,0
19,52,1247,22.48,106.66,131,55,59,8.97,58.36,73.81,0
33,62,1607,26.66,96.79,146,54,46,5.24,80.54,77.67,0
19,61,2341,45.49,146.04,250,76,8,6.9,58.74,58.93,1
20,66,2673,48.28,149.92,212,86,0,0.0,95.95,93.45,1
25,31,1215,34.22,123.7,84,52,0,0.0,59.59,94.27,0
32,46,1918,34.81,157.01,161,55,9,5.85,48.22,55.89,1
35,17,811,46.18,94.0,70,21,10,5.26,91.82,70.39,1
20,18,665,43.63,106.46,46,26,38,5.18,81.16,49.1,1
34,50,2863,52.71,104.3,296,102,42,7.9,96.1,67.86,1
20,11,475,36.04,159.89,55,19,16,5.6,48.78,62.45,0
25,57,1737,29.97,120.67,171,43,51,7.94,89.94,45.39,1
27,23,1028,52.86,99.4,117,33,17,6.27,63.86,55.53,1
26,74,3125,37.1,153.37,361,109,17,5.2,52.2,61.68,1
26,30,1338,45.94,128.62,165,62,56,8.11,46.98,52.45,1
29,80,1859,25.18,98.92,130,51,55,5.18,82.51,62.89,0
21,55,2504,47.3,151.89,202,108,59,6.07,88.99,53.13,1
23,62,1207,20.87,141.56,83,33,55,8.31,53.76,57.41,0
21,58,2605,50.53,150.1,189,89,19,8.69,57.26,88.57,1
24,61,2279,31.49,150.5,228,69,25,8.06,63.21,87.18,1
18,24,1256,50.7,108.29,84,60,38,6.96,62.25,81.43,1
34,24,724,33.48,130.36,55,36,59,8.63,96.71,79.34,1
24,56,2296,35.1,156.42,185,69,7,8.24,62.01,60.02,1
